,start_lat,start_long,start_index,end_lat,end_long,park_index,day,record_hour,distance_m,time_travel_s
0,37.458845,126.955165,0,37.453852,126.950869,0,2022-06-24,16,1.3744,824
1,37.458845,126.955165,0,37.463096,126.954647,4,2022-06-24,16,2.0069,923
2,37.458845,126.955165,0,37.457313,126.952549,5,2022-06-24,16,0.4957,338
3,37.465666,126.949285,1,37.454972,126.951899,2,2022-06-24,16,1.4661,266
4,37.465666,126.949285,1,37.460319,126.948958,3,2022-06-24,16,0.6534,154
5,37.465666,126.949285,1,37.457313,126.952549,5,2022-06-24,16,2.348,347
6,37.467632,126.947108,2,37.455393,126.954787,1,2022-06-24,16,2.2354,224
7,37.467632,126.947108,2,37.454972,126.951899,2,2022-06-24,16,1.7011,187
8,37.467632,126.947108,2,37.460319,126.948958,3,2022-06-24,16,0.89,143
9,37.467632,126.947108,2,37.463096,126.954647,4,2022-06-24,16,1.2022,220
10,37.467632,126.947108,2,37.457313,126.952549,5,2022-06-24,16,2.7166,298
11,37.470579,126.952287,3,37.453852,126.950869,0,2022-06-24,16,2.2161,833
12,37.470579,126.952287,3,37.455393,126.954787,1,2022-06-24,16,2.208,254
13,37.470579,126.952287,3,37.454972,126.951899,2,2022-06-24,16,2.2306,628
14,37.470579,126.952287,3,37.460319,126.948958,3,2022-06-24,16,1.4194,468
15,37.470579,126.952287,3,37.463096,126.954647,4,2022-06-24,16,1.1748,225
16,37.470579,126.952287,3,37.457313,126.952549,5,2022-06-24,16,2.6876,303
17,37.47089,126.958315,4,37.453852,126.950869,0,2022-06-24,16,2.3416,552
18,37.47089,126.958315,4,37.454972,126.951899,2,2022-06-24,16,2.3883,621
19,37.47089,126.958315,4,37.463096,126.954647,4,2022-06-24,16,1.4516,407
20,37.47089,126.958315,4,37.457313,126.952549,5,2022-06-24,16,2.3207,656
21,37.454492,126.954166,5,37.453852,126.950869,0,2022-06-24,16,0.3879,166
22,37.454492,126.954166,5,37.455393,126.954787,1,2022-06-24,16,0.1143,42
23,37.454492,126.954166,5,37.454972,126.951899,2,2022-06-24,16,0.4345,206
24,37.454492,126.954166,5,37.460319,126.948958,3,2022-06-24,16,1.1845,403
25,37.454492,126.954166,5,37.463096,126.954647,4,2022-06-24,16,1.1475,121
26,37.454492,126.954166,5,37.457313,126.952549,5,2022-06-24,16,0.4925,210
27,37.469163,126.964951,6,37.453852,126.950869,0,2022-06-24,16,2.7391,225
28,37.469163,126.964951,6,37.455393,126.954787,1,2022-06-24,16,2.2386,258
29,37.469163,126.964951,6,37.454972,126.951899,2,2022-06-24,16,2.7858,230
30,37.469163,126.964951,6,37.463096,126.954647,4,2022-06-24,16,1.8491,243
31,37.469163,126.964951,6,37.457313,126.952549,5,2022-06-24,16,2.7182,276
32,37.477839,126.959765,7,37.453852,126.950869,0,2022-06-24,16,3.4907,1470
33,37.477839,126.959765,7,37.463096,126.954647,4,2022-06-24,16,2.6007,1306
